iter	Passed	Remaining
0	11	11663
1	22	11218
2	29	9826
3	36	9198
4	44	8865
5	52	8662
6	59	8503
7	66	8267
8	72	8003
9	80	7960
10	89	8055
11	98	8104
12	104	7970
13	111	7821
14	117	7717
15	124	7631
16	145	8398
17	166	9067
18	181	9358
19	194	9543
20	208	9725
21	221	9844
22	232	9873
23	247	10051
24	258	10087
25	270	10139
26	285	10291
27	301	10461
28	313	10490
29	326	10549
30	336	10516
31	348	10529
32	361	10601
33	375	10655
34	385	10625
35	405	10868
36	431	11235
37	450	11398
38	461	11383
39	471	11312
40	483	11302
41	493	11256
42	507	11285
43	522	11345
44	534	11337
45	548	11371
46	560	11370
47	575	11412
48	589	11441
49	601	11434
50	615	11452
51	630	11488
52	642	11474
53	655	11486
54	677	11634
55	689	11622
56	699	11579
57	711	11559
58	721	11511
59	731	11464
60	741	11413
61	751	11373
62	761	11327
63	771	11285
64	782	11262
65	794	11243
66	804	11204
67	814	11163
68	824	11124
69	834	11089
70	846	11069
71	856	11033
72	867	11013
73	877	10977
74	887	10943
75	899	10930
76	910	10919
77	922	10908
78	934	10892
79	945	10869
80	958	10878
81	976	10927
82	995	11000
83	1007	10990
84	1020	10989
85	1033	10981
86	1044	10957
87	1056	10947
88	1071	10966
89	1084	10962
90	1094	10929
91	1104	10900
92	1117	10902
93	1129	10888
94	1142	10884
95	1156	10889
96	1171	10908
97	1185	10907
98	1203	10949
99	1220	10984
100	1235	10997
101	1249	10996
102	1263	11003
103	1275	10993
104	1288	10981
105	1300	10967
106	1313	10965
107	1323	10932
108	1333	10904
109	1347	10899
110	1357	10870
111	1367	10839
112	1377	10811
113	1388	10792
114	1403	10802
115	1413	10775
116	1426	10764
117	1436	10740
118	1448	10725
119	1465	10743
120	1478	10741
121	1493	10750
122	1514	10800
123	1530	10812
124	1544	10811
125	1559	10815
126	1569	10786
127	1581	10777
128	1593	10761
129	1609	10773
130	1620	10752
131	1629	10716
132	1641	10699
133	1656	10705
134	1668	10693
135	1678	10665
136	1691	10653
137	1700	10620
138	1708	10583
139	1717	10550
140	1727	10526
141	1737	10499
142	1747	10474
143	1757	10449
144	1767	10423
145	1777	10398
146	1787	10373
147	1797	10347
148	1809	10332
149	1821	10319
150	1831	10294
151	1842	10279
152	1852	10256
153	1862	10232
154	1875	10224
155	1885	10201
156	1895	10178
157	1906	10159
158	1917	10142
159	1927	10118
160	1937	10094
161	1947	10072
162	1957	10050
163	1969	10037
164	1979	10015
165	1989	9993
166	1998	9970
167	2010	9954
168	2022	9942
169	2033	9927
170	2043	9904
171	2054	9890
172	2064	9870
173	2074	9848
174	2086	9834
175	2096	9814
176	2107	9801
177	2117	9779
178	2129	9766
179	2140	9750
180	2152	9737
181	2162	9717
182	2174	9705
183	2185	9693
184	2198	9687
185	2211	9679
186	2223	9668
187	2236	9660
188	2251	9662
189	2265	9659
190	2278	9649
191	2290	9638
192	2302	9627
193	2313	9611
194	2323	9592
195	2335	9581
196	2348	9571
197	2358	9552
198	2368	9531
199	2378	9514
200	2389	9496
201	2401	9485
202	2411	9466
203	2421	9446
204	2431	9427
205	2441	9408
206	2452	9394
207	2467	9396
208	2481	9393
209	2502	9413
210	2517	9414
211	2532	9413
212	2545	9405
213	2556	9388
214	2568	9377
215	2582	9372
216	2596	9369
217	2608	9358
218	2621	9348
219	2639	9357
220	2651	9347
221	2663	9335
222	2675	9322
223	2687	9310
224	2698	9294
225	2709	9278
226	2721	9265
227	2730	9246
228	2741	9229
229	2751	9210
230	2763	9198
231	2776	9192
232	2791	9189
233	2811	9202
234	2828	9208
235	2841	9197
236	2852	9184
237	2863	9168
238	2873	9148
239	2883	9130
240	2892	9109
241	2903	9095
242	2913	9076
243	2924	9059
244	2936	9047
245	2945	9029
246	2956	9012
247	2967	8999
248	2978	8984
249	2993	8979
250	3003	8962
251	3014	8947
252	3024	8929
253	3034	8913
254	3047	8902
255	3056	8884
256	3067	8867
257	3078	8852
258	3088	8834
259	3101	8826
260	3113	8815
261	3124	8801
262	3137	8791
263	3152	8789
264	3162	8772
265	3172	8754
266	3182	8737
267	3192	8720
268	3202	8703
269	3212	8686
270	3222	8668
271	3232	8652
272	3243	8637
273	3255	8624
274	3266	8612
275	3277	8597
276	3288	8582
277	3298	8565
278	3307	8547
279	3319	8535
280	3331	8525
281	3361	8558
282	3384	8574
283	3406	8588
284	3428	8602
285	3442	8595
286	3459	8593
287	3469	8576
288	3480	8561
289	3491	8548
290	3503	8535
291	3513	8518
292	3524	8504
293	3534	8487
294	3544	8470
295	3553	8452
296	3564	8436
297	3574	8419
298	3584	8403
299	3594	8386
300	3604	8370
301	3615	8355
302	3630	8352
303	3649	8356
304	3663	8347
305	3672	8330
306	3682	8313
307	3692	8296
308	3704	8283
309	3714	8266
310	3725	8254
311	3735	8237
312	3747	8224
313	3756	8206
314	3767	8191
315	3775	8173
316	3785	8155
317	3795	8139
318	3806	8126
319	3817	8112
320	3827	8097
321	3842	8090
322	3858	8087
323	3873	8082
324	3889	8077
325	3905	8074
326	3918	8063
327	3926	8045
328	3937	8030
329	3948	8015
330	3956	7996
331	3965	7978
332	3976	7964
333	3987	7950
334	3999	7938
335	4010	7925
336	4019	7906
337	4030	7893
338	4047	7892
339	4063	7887
340	4076	7877
341	4086	7861
342	4096	7847
343	4105	7828
344	4115	7814
345	4126	7800
346	4136	7784
347	4146	7768
348	4156	7752
349	4167	7739
350	4179	7728
351	4189	7712
352	4199	7697
353	4210	7684
354	4221	7669
355	4231	7654
356	4241	7638
357	4251	7624
358	4261	7609
359	4271	7594
360	4282	7579
361	4294	7569
362	4305	7554
363	4316	7541
364	4326	7526
365	4336	7511
366	4346	7496
367	4356	7481
368	4367	7468
369	4378	7455
370	4388	7439
371	4399	7426
372	4408	7411
373	4418	7396
374	4428	7381
375	4438	7366
376	4448	7351
377	4459	7337
378	4471	7326
379	4481	7311
380	4493	7300
381	4504	7287
382	4514	7273
383	4526	7261
384	4534	7243
385	4544	7228
386	4553	7212
387	4563	7198
388	4573	7184
389	4584	7169
390	4595	7157
391	4606	7144
392	4616	7130
393	4626	7115
394	4636	7101
395	4647	7089
396	4659	7077
397	4669	7062
398	4679	7049
399	4691	7036
400	4701	7022
401	4711	7008
402	4721	6994
403	4731	6980
404	4742	6966
405	4753	6954
406	4765	6943
407	4775	6928
408	4785	6914
409	4796	6902
410	4808	6891
411	4819	6877
412	4827	6861
413	4835	6844
414	4845	6829
415	4856	6817
416	4865	6802
417	4876	6789
